1. Larahh-Tauri           19100 pts
2. Hupap-Tauri            18970 pts
3. Arrchangel-WoD         18815 pts
4. Spuky-Evermoon         18760 pts
5. Andás-Evermoon         18690 pts
6. Asamoschra-Tauri       18685 pts
7. Exå-Evermoon           18605 pts
8. Stronoff-WoD           18525 pts
9. Yølkø-Evermoon         18485 pts
10. Ynes-Tauri             18445 pts
11. Darkendevil-Tauri      18440 pts
12. Langston-Evermoon      18375 pts
13. Rosszko-Tauri          18335 pts
14. Shiranui-Evermoon      18265 pts
15. Morron-Tauri           18195 pts
16. Rem-Evermoon           18140 pts
17. Goldenstab-Evermoon    18125 pts
18. Grey-Tauri             18105 pts
19. Nanahoshi-Evermoon     17985 pts
20. Buldosier-Tauri        17975 pts
21. Cygram-WoD             17960 pts
22. Fiendstorm-Evermoon    17900 pts
23. Darkpaladino-Tauri     17870 pts
24. Deylisz-Tauri          17860 pts
25. Xyhop-Evermoon         17850 pts
26. Lilla-Evermoon         17845 pts
27. Harð-Tauri             17795 pts
28. Dave-Evermoon          17790 pts
29. Criminal-Tauri         17750 pts
30. Deusmortis-Tauri       17730 pts
31. Daroth-Tauri           17695 pts
32. Sudenlydie-Tauri       17685 pts
33. Forestdruid-Tauri      17685 pts
34. Fxdave-Tauri           17640 pts
35. Oneepunchman-Evermoon  17620 pts
36. Wrathdwarf-Evermoon    17615 pts
37. Farbiosa-Evermoon      17605 pts
38. Zahakka-Evermoon       17605 pts
39. Relya-Tauri            17585 pts
40. Nudal-Evermoon         17580 pts
41. Niom-Evermoon          17565 pts
42. Polaak-Tauri           17535 pts
43. Leorox-Tauri           17535 pts
44. Sellendis-Evermoon     17475 pts
45. Royalfrees-Tauri       17435 pts
46. Breavers-Tauri         17415 pts
47. Ágyúnaszád-Tauri       17410 pts
48. Blackhånd-WoD          17390 pts
49. Vadászkürt-Tauri       17360 pts
50. Delamor-Tauri          17355 pts
51. Layanara-Tauri         17340 pts
52. Mathx-Evermoon         17325 pts
53. Thomaslock-Evermoon    17320 pts
54. Natiry-Evermoon        17310 pts
55. Frost-Evermoon         17270 pts
56. Adriatic-Evermoon      17270 pts
57. Trasig-Evermoon        17265 pts
58. Quro-Evermoon          17240 pts
59. Gasaiyunoo-Tauri       17235 pts
60. Furiøus-Evermoon       17215 pts
61. Meløni-Evermoon        17160 pts
62. Fighly-Tauri           17160 pts
63. Wojsilek-Evermoon      17120 pts
64. Matthas-Evermoon       17105 pts
65. Dehydra-Tauri          17095 pts
66. Bamboothicc-Evermoon   17090 pts
67. Falchion-Tauri         17085 pts
68. Titanium-WoD           17085 pts
69. Zsozéatya-Evermoon     17045 pts
70. Xenobian-Tauri         17020 pts
71. Topo-Evermoon          17005 pts
72. Galvayra-Evermoon      17000 pts
73. Agrael-Tauri           16935 pts
74. Shaie-Evermoon         16910 pts
75. Devience-Evermoon      16910 pts
76. Ieavemylife-Tauri      16910 pts
77. Meehbee-Tauri          16905 pts
